Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
680012,1444/11/30,"6 h","SUNDGAU ?",ALSACE,,1024539.67,6747752.60,47.75,7.33,6.5,ARBITRAIRE
300030,1448/05/24,,"GARRIGUES (NIMES)",CEVENNES,,813586.15,6325203.99,44.02,4.42,7.5,INCERTAINE
630078,1450/,,"LIMAGNE (RIOM)",AUVERGNE,,709048.34,6531524.63,45.88,3.12,7,INCERTAINE
570005,1477/06/29,,"COTES DE MOSELLE (METZ)",LORRAINE,,932344.15,6895445.99,49.12,6.18,6,"INFORMATION ISOLÉE"
630002,1477/06/29,"7 h","LIMAGNE (RIOM)",AUVERGNE,,707762.73,6525970.34,45.83,3.10,7.5,"ASSEZ SURE"
490016,1485/03/14,"7 h","VAL D'ANJOU (ANGERS)",ANJOU,,432668.50,6713378.05,47.47,-0.55,6,"INFORMATION ISOLÉE"
630005,1490/03/01,"10 h","LIMAGNE (RIOM)",AUVERGNE,"GROUPE DE SECOUSSES D UN ESSAIM",697412.45,6525965.97,45.83,2.97,8,"ASSEZ SURE"
120018,1490/06/14,"18 h","GRANDS CAUSSES (RECOULES)",QUERCY-ROUERGUE,,697342.12,6359367.74,44.33,2.97,4,"INFORMATION ISOLÉE"
60006,1494/06/23,,"ALPES NICOISES (ROQUEBILLIERE)","ALPES MARITIMES",,1046152.19,6329945.19,43.98,7.32,8,INCERTAINE
490019,1497/05/14,"23 h","BASSE-VALLEE DU LOIR (TIERCE)",ANJOU,,444435.26,6723979.88,47.57,-0.40,7,INCERTAINE
40002,1509/12/13,"11 h","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM",923846.98,6307759.07,43.83,5.78,8,INCERTAINE
790004,1512/08/25,,"GATINE (ST-MAIXENT-L'ECOLE)",POITOU,,454285.02,6595725.02,46.42,-0.20,4.5,"INFORMATION ISOLÉE"
180002,1522/06/25,"22 h","PLATEAU MERIDIONAL (LE GRAND-PRESSIGNY ?)",TOURAINE,,528789.82,6648714.69,46.92,0.75,7.5,ARBITRAIRE
640494,1537/09/22,"17 h","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",,405951.33,6240155.47,43.20,-0.62,7,"INFORMATION ISOLÉE"
810006,1543/09/03,"22 h","ALBIGEOIS ?",LANGUEDOC,,631746.31,6315292.84,43.93,2.15,4.5,"INFORMATION ISOLÉE"
640569,1543/09/14,,"BEARN (MAULEON)","PYRENEES OCCIDENTALES",,384378.34,6243035.77,43.22,-0.88,5,"INFORMATION ISOLÉE"
350003,1544/,,"BASSIN DE RENNES (RENNES)",BRETAGNE,,351582.41,6788071.77,48.10,-1.68,5,"INFORMATION ISOLÉE"
140004,1544/10/06,"21 h","BESSIN (BAYEUX)",NORMANDIE,,430839.55,6915607.72,49.28,-0.70,5,"INFORMATION ISOLÉE"
330020,1545/03,,"BASSE VALLEE DE LA GARONNE ?",GUYENNE,,455723.96,6403016.54,44.68,-0.08,3,"INFORMATION ISOLÉE"
330021,1545/08,,"BASSE VALLEE DE LA GARONNE ?",GUYENNE,,470142.23,6363564.30,44.33,0.12,5,ARBITRAIRE
310002,1546/04/21,"12 h","GAILLACOIS ?",LANGUEDOC,,603362.26,6297139.51,43.77,1.80,6,ARBITRAIRE
680015,1548/02/09,,"SUNDGAU ?",ALSACE,,1022045.72,6747616.13,47.75,7.30,5.5,ARBITRAIRE
260002,1549/01/16,"22 h","BASSIN DE MONTELIMAR (MONTELIMAR)",DAUPHINE,"GROUPE DE SECOUSSES D UN ESSAIM",839077.32,6381274.63,44.52,4.75,5,INCERTAINE
260003,1549/05/04,"22 h","BASSIN DE MONTELIMAR (MONTELIMAR)",DAUPHINE,,838995.27,6384976.45,44.55,4.75,6,"INFORMATION ISOLÉE"
680016,1552/09/16,"3 h","SUNDGAU ?",ALSACE,,1022045.72,6747616.13,47.75,7.30,5.5,ARBITRAIRE
370040,1557/07/01,"19 h","GATINE-DE-LOCHES (LA GUERCHE)",TOURAINE,,527415.42,6645049.89,46.88,0.73,3.5,"INFORMATION ISOLÉE"
60010,1564/07/20,"20 h","ALPES NICOISES (LA BOLLENE-VESUBIE)","ALPES MARITIMES","GROUPE DE SECOUSSES D UN ESSAIM",1046051.00,6331794.34,44.00,7.32,8,INCERTAINE
840093,1568/11/08,,"BARONNIES (MALAUCENE)",VAUCLUSE,,870585.47,6343155.52,44.17,5.13,5,"ASSEZ SURE"
630080,1570/07/31,"18 h","LIMAGNE (RIOM)",AUVERGNE,,709048.34,6531524.63,45.88,3.12,5,"INFORMATION ISOLÉE"
430003,1570/08/15,,"VELAY (LE PUY)",AUVERGNE,,769542.52,6439361.17,45.05,3.88,5.5,"INFORMATION ISOLÉE"
850052,1572/03/26,,"PLAINE VENDEENNE (FONTENAY-LE-COMTE)","PAYS NANTAIS ET VENDEEN",,396831.60,6600180.69,46.43,-0.95,4,"INFORMATION ISOLÉE"
690026,1573/06/24,,"LYONNAIS (LYON)",FOREZ-LYONNAIS,,843770.88,6520246.40,45.77,4.85,4.5,"INFORMATION ISOLÉE"
690001,1578/05/20,"16 h","BAS-PLATEAUX DAUPHINOIS (LA TOUR-DU-PIN ?)",DAUPHINE,,883223.46,6500929.27,45.58,5.35,6.5,ARBITRAIRE
370005,1579/01/26,"6 h 50 min","MARCHE-BOISCHAUT ?",BERRY,"GROUPE DE SECOUSSES D UN ESSAIM",623429.50,6609739.53,46.58,2.00,7.5,ARBITRAIRE
870004,1579/08/10,,"MONTS D'AMBAZAC (GRANDMONT)",LIMOUSIN,,573600.56,6545781.18,46.00,1.37,5.5,"INFORMATION ISOLÉE"
500011,1584/11/12,"19 h",MONT-SAINT-MICHEL,NORMANDIE,,367356.78,6846532.76,48.63,-1.52,6,"INFORMATION ISOLÉE"
490023,1588/03/25,"10 h","VAL D'ANJOU (ANGERS)",ANJOU,,432335.66,6705979.64,47.40,-0.55,6.5,INCERTAINE
50002,1590/12/28,"22 h","QUEYRAS (CHATEAU-VILLE-VIEILLE)","ALPES DAUPHINOISES",,1000657.82,6412887.55,44.75,6.80,5,"INFORMATION ISOLÉE"
170007,1591/04/24,"12 h","ILE DE RE",CHARENTES,,363450.60,6575992.07,46.20,-1.37,5.5,SURE
650450,1592/07/06,"17 h","BIGORRE (TARBES)","PYRENEES CENTRALES",,461618.05,6241554.20,43.23,0.07,5,"INFORMATION ISOLÉE"
370006,1593/04/08,"21 h 0 min","VAL D'ANJOU (ANGERS)",ANJOU,,432668.50,6713378.05,47.47,-0.55,6,"ASSEZ SURE"
170009,1593/11/19,"15 h","AUNIS (LA ROCHELLE)",CHARENTES,,379939.40,6571394.93,46.17,-1.15,5,"INFORMATION ISOLÉE"
630007,1594/05/08,"5 h","LIMAGNE (RIOM)",AUVERGNE,,709048.34,6531524.63,45.88,3.12,5,"INFORMATION ISOLÉE"
290001,1601/12/19,"23 h","LEON (MORLAIX)",BRETAGNE,,196612.39,6853252.91,48.58,-3.83,5,INCERTAINE
840108,1603/01/26,"21 h 0 min","COMTAT (CAVAILLON)",VAUCLUSE,,863544.72,6305919.29,43.83,5.03,4.5,"INFORMATION ISOLÉE"
840109,1603/01/27,"14 h 0 min","COMTAT (CAVAILLON)",VAUCLUSE,REPLIQUE,863544.72,6305919.29,43.83,5.03,3,"INFORMATION ISOLÉE"
840110,1603/01/28,"2 h 0 min","COMTAT (CAVAILLON)",VAUCLUSE,REPLIQUE,863544.72,6305919.29,43.83,5.03,3,"INFORMATION ISOLÉE"
840111,1603/01/28,"5 h 0 min","COMTAT (CAVAILLON)",VAUCLUSE,REPLIQUE,863544.72,6305919.29,43.83,5.03,3,"INFORMATION ISOLÉE"
840113,1603/03/20,"21 h 0 min","COMTAT (CAVAILLON)",VAUCLUSE,,863544.72,6305919.29,43.83,5.03,4.5,"INFORMATION ISOLÉE"
840114,1603/06/29,"10 h 0 min","COMTAT (CAVAILLON)",VAUCLUSE,,863544.72,6305919.29,43.83,5.03,4.5,"INFORMATION ISOLÉE"
840115,1603/11/29,"23 h 0 min","COMTAT (CAVAILLON)",VAUCLUSE,,863544.72,6305919.29,43.83,5.03,4,"INFORMATION ISOLÉE"
70001,1604/12/07,,"BAS-VIVARAIS (VIVIERS)",CEVENNES,,833858.86,6377457.40,44.48,4.68,5,"INFORMATION ISOLÉE"
170014,1605/08/24,"19 h","AUNIS (LA ROCHELLE)",CHARENTES,,379939.40,6571394.93,46.17,-1.15,5.5,"INFORMATION ISOLÉE"
310003,1608/11/28,"22 h","PLAINES DE HAUTE-GARONNE (TOULOUSE)",LANGUEDOC,,574815.90,6279111.50,43.60,1.45,4,"INFORMATION ISOLÉE"
490029,1609/01/16,"2 h","VAL D'ANJOU (ANGERS)",ANJOU,,431247.05,6709735.35,47.43,-0.57,6,INCERTAINE
260009,1610/01/02,"21 h","BASSIN DE MONTELIMAR (MONTELIMAR)",DAUPHINE,PRECURSEUR,838995.27,6384976.45,44.55,4.75,4,"INFORMATION ISOLÉE"
260010,1610/01/03,"18 h","BASSIN DE MONTELIMAR (MONTELIMAR)",DAUPHINE,,838995.27,6384976.45,44.55,4.75,5,"INFORMATION ISOLÉE"
680023,1614/05/22,,"PLAINE DE HAUTE-ALSACE (THANN)",ALSACE,,1006696.20,6754216.62,47.82,7.10,5,"INFORMATION ISOLÉE"
350046,1614/08/27,"5 h","MARAIS DE DOL (ST-BROLADRE)",BRETAGNE,,357221.12,6841553.81,48.58,-1.65,4.5,"INFORMATION ISOLÉE"
230054,1617/05/03,,"COMBRAILLE (AUZANCE ?)",LIMOUSIN,,661338.94,6550148.78,46.05,2.50,5,"INFORMATION ISOLÉE"
60018,1618/01/18,"5 h","ALPES NICOISES (COARAZE)","ALPES MARITIMES",,1044084.24,6318704.31,43.88,7.28,8,INCERTAINE
640495,1618/06/08,"20 h","BEARN (PAU)","PYRENEES OCCIDENTALES",PRECURSEUR,426738.33,6250363.45,43.30,-0.37,5.5,"INFORMATION ISOLÉE"
640160,1618/07/03,"5 h","BEARN (OLORON-SAINTE-MARIE)","PYRENEES OCCIDENTALES",,405951.33,6240155.47,43.20,-0.62,6.5,"ASSEZ SURE"
500012,1619/04/30,"19 h","MARAIS DE DOL (ST-BROLADRE ?)",BRETAGNE,,333907.54,6842975.22,48.58,-1.97,5,INCERTAINE
490030,1619/08/11,"11 h","BOCAGE VENDEEN (LES HERBIERS)","PAYS NANTAIS ET VENDEEN",,391345.69,6643085.97,46.82,-1.05,5.5,ARBITRAIRE
130112,1622/02/01,,"CRAU (SALON-DE-PROVENCE)",PROVENCE,,869447.40,6285693.08,43.65,5.10,6,"INFORMATION ISOLÉE"
560042,1622/05/19,"23 h 55 min","VANNETAIS (AURAY)",BRETAGNE,,251388.62,6746591.46,47.67,-2.98,5,"INFORMATION ISOLÉE"
50004,1624/12/26,"23 h","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",,986714.23,6428909.85,44.90,6.63,5,"INFORMATION ISOLÉE"
650004,1625/05/08,"23 h 55 min","BIGORRE ?","PYRENEES CENTRALES",,468810.50,6215331.93,43.00,0.17,7,ARBITRAIRE
650005,1627/07/05,"9 h","BIGORRE (ST-SAVIN)","PYRENEES CENTRALES",,448349.02,6214244.33,42.98,-0.08,5,"INFORMATION ISOLÉE"
490031,1628/08/27,"13 h","VAL D'ANJOU (ANGERS)",ANJOU,,432668.50,6713378.05,47.47,-0.55,5,"INFORMATION ISOLÉE"
430006,1631/09/16,"1 h","VELAY (LE PUY)",AUVERGNE,,769563.22,6437510.19,45.03,3.88,5,INCERTAINE
560062,1632/01/01,"8 h","VANNETAIS (VANNES)",BRETAGNE,,267469.01,6743535.99,47.65,-2.77,5,"INFORMATION ISOLÉE"
350049,1634/09/23,"11 h","PAYS DE FOUGERES",BRETAGNE,,380046.55,6808711.33,48.30,-1.32,5,"INFORMATION ISOLÉE"
260206,1635/12/24,"10 h","PLAINE DE VALENCE (VALENCE)",DAUPHINE,,849882.51,6427817.88,44.93,4.90,5,"INFORMATION ISOLÉE"
670017,1636/06,,"PLAINE DE BASSE-ALSACE (SELESTAT)",ALSACE,"GROUPE DE SECOUSSES D UN ESSAIM",1030034.29,6805561.05,48.27,7.45,5,INCERTAINE
630008,1639/01/13,,"BRIVADOIS (BLESLE)",AUVERGNE,,713059.01,6468601.97,45.32,3.17,5,INCERTAINE
170016,1639/02/16,"11 h","BAS-PAYS CHARENTAIS (ROCHEFORT)",CHARENTES,,398290.20,6551926.18,46.00,-0.90,5,ARBITRAIRE
170017,1639/06/03,,"AUNIS (LA ROCHELLE)",CHARENTES,,379939.40,6571394.93,46.17,-1.15,4,"INFORMATION ISOLÉE"
500013,1640/07/06,"23 h","BOCAGE NORMAND (COUTANCES ?)",NORMANDIE,,380236.20,6879216.72,48.93,-1.37,6,ARBITRAIRE
60028,1644/02/15,"4 h 30 min","ALPES NICOISES (ROQUEBILLIERE)","ALPES MARITIMES","GROUPE DE SECOUSSES D UN ESSAIM",1038338.63,6325813.39,43.95,7.22,8,INCERTAINE
120007,1646/04/27,"15 h","PAYS DE CONQUES ?",QUERCY-ROUERGUE,,652369.17,6387319.79,44.58,2.40,5,INCERTAINE
430008,1646/10/27,"4 h","VELAY (LE PUY)",AUVERGNE,"GROUPE DE SECOUSSES D UN ESSAIM",769563.22,6437510.19,45.03,3.88,5,INCERTAINE
520004,1646/12/05,"14 h","PLATEAU DE LANGRES (PRANGEY)",CHAMPAGNE,,872102.08,6748759.13,47.82,5.30,4,INCERTAINE
380111,1649/03/20,,"BAS-PLATEAUX DAUPHINOIS (BEAUREPAIRE)",DAUPHINE,,860559.58,6472523.37,45.33,5.05,5.5,"INFORMATION ISOLÉE"
870035,1651/08/24,"18 h","BASSE-MARCHE (LE DORAT)",LIMOUSIN,,552262.04,6570328.03,46.22,1.08,4.5,"INFORMATION ISOLÉE"
670018,1655/03/31,"7 h","PLAINE DE BASSE-ALSACE (STRASBOURG)",ALSACE,,1050141.67,6841992.57,48.58,7.75,4.5,"INFORMATION ISOLÉE"
670019,1655/03/31,"18 h","PLAINE DE BASSE-ALSACE (STRASBOURG)",ALSACE,,1050141.67,6841992.57,48.58,7.75,4.5,"INFORMATION ISOLÉE"
370007,1657/02/15,"15 h","PLATEAU DE SAINTE-MAURE (STE-MAURE)",TOURAINE,,517941.77,6667553.69,47.08,0.60,7.5,INCERTAINE
790033,1658/10/27,"23 h 55 min","PLAINES DU HAUT-POITOU (THOUARS)",POITOU,,455568.95,6658659.02,46.98,-0.22,5,"INFORMATION ISOLÉE"
650009,1660/06/21,"4 h","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,460516.90,6211926.02,42.97,0.07,8.5,INCERTAINE
490033,1663/01/14,"0 h 5 min","BOCAGE VENDEEN (CHATILLON-SUR-SEVRES ?)",POITOU,,414894.10,6656748.69,46.95,-0.75,7,ARBITRAIRE
870007,1663/02/20,,"BASSE-MARCHE (CHATEAUPONSAC)",LIMOUSIN,"GROUPE DE SECOUSSES D UN ESSAIM",567474.42,6560721.20,46.13,1.28,4.5,"INFORMATION ISOLÉE"
610003,1664/05/01,"6 h","CAMPAGNE D'ARGENTAN (ARGENTAN)",NORMANDIE,,478256.98,6854223.69,48.75,-0.02,4,"INFORMATION ISOLÉE"
130003,1664/07/10,"8 h","BASSIN D'AIX-EN-PROVENCE (AIX-EN-PROVENCE)",PROVENCE,,949047.13,6280893.45,43.58,6.08,5.5,ARBITRAIRE
130004,1664/11/10,,"BASSIN D'AIX-EN-PROVENCE (AIX-EN-PROVENCE)",PROVENCE,,898082.47,6273546.49,43.53,5.45,4.5,"INFORMATION ISOLÉE"
650024,1665/02/04,"4 h","BIGORRE (LOURDES ?)","PYRENEES CENTRALES",,451569.12,6227100.97,43.10,-0.05,7,ARBITRAIRE
680130,1666/01/16,"3 h","VOSGES ALSACIENNES (MUNSTER)",ALSACE,,1007927.72,6778388.93,48.03,7.13,4.5,"INFORMATION ISOLÉE"
500014,1668/10/08,"5 h","CHAUSEY ?","ILES ANGLO-NORMANDES",,348000.35,6892232.94,49.03,-1.82,5,ARBITRAIRE
670020,1669/10/10,"12 h 45 min","PLAINE DE BASSE-ALSACE (STRASBOURG)",ALSACE,"GROUPE DE SECOUSSES D UN ESSAIM",1050141.67,6841992.57,48.58,7.75,6,INCERTAINE
400001,1673/12/11,"4 h","CHALOSSE (DAX)",GASCOGNE,,373598.23,6297368.90,43.70,-1.05,3.5,"INFORMATION ISOLÉE"
1120056,1674/12/16,"8 h","SUNDGAU (S-W. MULHOUSE)",ALSACE,,1033893.97,6737145.93,47.65,7.45,6,INCERTAINE
130005,1678/09/02,"3 h","MOYENNE-DURANCE (MANOSQUE ?)","ALPES PROVENCALES",,924173.33,6298504.34,43.75,5.78,7,ARBITRAIRE
880001,1682/05/12,"2 h 30 min","HAUTES-VOSGES (REMIREMONT)",VOSGES,,962349.79,6768762.66,47.97,6.52,8,"ASSEZ SURE"
40210,1684/08/31,"23 h 55 min","PREALPES DE DIGNE (DIGNE)","ALPES PROVENCALES",,958806.03,6338743.55,44.10,6.23,5.5,"INFORMATION ISOLÉE"
710019,1686/12/22,"17 h","PAYS D'AUTUN ET DU CREUSOT (EPINAC ?)",BOURGOGNE,,812776.19,6652887.91,46.97,4.48,5,ARBITRAIRE
760013,1687/,,"PAYS DE CAUX (DIEPPE)",NORMANDIE,,562243.21,6981449.77,49.92,1.08,5,"INFORMATION ISOLÉE"
430009,1687/09/11,"3 h","VELAY (LE MONASTIER-SUR-GAZEILLE)",AUVERGNE,,778891.04,6426514.11,44.93,4.00,5,"INFORMATION ISOLÉE"
320004,1693/06/22,"3 h","PAYS DE MIRANDE (PONSAN-SOUBIRAN)",GASCOGNE,,495879.94,6253348.36,43.35,0.48,4,"INFORMATION ISOLÉE"
130136,1693/12/12,"20 h","COMTAT (TARASCON-SUR-RHONE)",PROVENCE,,834136.13,6301525.04,43.80,4.67,5,"INFORMATION ISOLÉE"
360036,1699/04/14,"9 h","BRANDES DU HAUT-POITOU (ANTIGNY)",POITOU,,535238.19,6605945.04,46.53,0.85,5.5,"INFORMATION ISOLÉE"
140005,1699/05/02,"17 h","BOCAGE NORMAND (VIRE)",NORMANDIE,,415144.09,6868112.35,48.85,-0.88,6,"INFORMATION ISOLÉE"
370008,1704/03/11,"15 h","PLATEAU DE SAINTE-MAURE (LIGUEIL ?)",TOURAINE,,528895.30,6652415.38,46.95,0.75,7.5,ARBITRAIRE
560004,1705/04/19,"11 h","PAYS DE PONTIVY (BIEUZY)",BRETAGNE,,247853.31,6782149.34,47.98,-3.07,5,"INFORMATION ISOLÉE"
440082,1706/07/12,"14 h","PAYS DE RETZ (ST-VIAUD)","PAYS NANTAIS ET VENDEEN",,320820.46,6695348.51,47.25,-2.02,4.5,"INFORMATION ISOLÉE"
490035,1706/09/07,"2 h","VALLEE DE LA LOIRE (LANGEAIS)",TOURAINE,,503628.77,6693938.05,47.32,0.40,7,INCERTAINE
170024,1706/09/15,"3 h 45 min","ILE D'OLERON",CHARENTES,,374414.07,6540178.92,45.88,-1.20,5.5,INCERTAINE
440007,1708/03/13,"5 h","LOUDUNOIS ?",POITOU,,473570.68,6665362.32,47.05,0.02,6.5,ARBITRAIRE
40004,1708/03/21,"23 h","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",,923846.98,6307759.07,43.83,5.78,5.5,"ASSEZ SURE"
40005,1708/08/14,"6 h 15 min","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",,922572.06,6305861.11,43.82,5.77,8,"ASSEZ SURE"
40012,1708/08/20,"14 h 50 min","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",REPLIQUE,923846.98,6307759.07,43.83,5.78,7,"ASSEZ SURE"
40024,1708/09/20,"15 h 30 min","MOYENNE-DURANCE (MANOSQUE)","ALPES PROVENCALES",REPLIQUE,923846.98,6307759.07,43.83,5.78,2.5,"INFORMATION ISOLÉE"
370023,1709/08/29,"3 h","VALLEE DE LA LOIRE (LANGEAIS)",TOURAINE,PRECURSEUR,503689.72,6695788.35,47.33,0.40,3.5,"INFORMATION ISOLÉE"
370024,1709/08/29,"20 h","VALLEE DE LA LOIRE (LANGEAIS)",TOURAINE,,503689.72,6695788.35,47.33,0.40,5,"INFORMATION ISOLÉE"
860004,1711/10/06,"19 h","LOUDUNOIS (LOUDUN)",POITOU,,475615.41,6652318.22,46.93,0.05,7.5,"ASSEZ SURE"
640161,1714/07/06,"14 h","PAYS BASQUE (BAYONNE)","PYRENEES OCCIDENTALES","GROUPE DE SECOUSSES D UN ESSAIM",337343.81,6275214.09,43.48,-1.48,5,"INFORMATION ISOLÉE"
860051,1715/05/11,"23 h","LOUDUNOIS (VERRUE)",POITOU,,484219.89,6644593.70,46.87,0.17,4,"INFORMATION ISOLÉE"
50102,1719/06/11,"2 h","BARONNIES (MOYDANS)","ALPES DAUPHINOISES",,899075.22,6369924.98,44.40,5.50,5.5,INCERTAINE
730226,1724/07/15,"18 h 30 min","BAUGES (ARITH)","ALPES SAVOYARDES",,939795.90,6517691.96,45.72,6.08,5,"INFORMATION ISOLÉE"
440009,1725/01/13,"20 h","ESTUAIRE DE LA LOIRE (ST-NAZAIRE)","PAYS NANTAIS ET VENDEEN",,296039.21,6702543.56,47.30,-2.35,4,"ASSEZ SURE"
900002,1725/04/14,,"TERRITOIRE DE BELFORT (ANGEOT)",FRANCHE-COMTE,,1001127.09,6740950.58,47.70,7.02,5,"INFORMATION ISOLÉE"
130008,1727/03/22,"21 h 30 min","CAMARGUE (ARLES)",PROVENCE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",831721.91,6288506.58,43.68,4.63,5,"INFORMATION ISOLÉE"
130009,1727/05/24,"6 h 45 min","CAMARGUE (ARLES)",PROVENCE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",831645.29,6292210.28,43.72,4.63,4,INCERTAINE
130010,1727/05/27,"1 h 45 min","CAMARGUE (ARLES)",PROVENCE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",831721.91,6288506.58,43.68,4.63,6.5,INCERTAINE
130017,1728/01/17,,"CAMARGUE (ARLES)",PROVENCE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",831721.91,6288506.58,43.68,4.63,3,"INFORMATION ISOLÉE"
130025,1730/10/11,"15 h 45 min","CAMARGUE (ARLES)",PROVENCE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",831721.91,6288506.58,43.68,4.63,3.5,"INFORMATION ISOLÉE"
130027,1730/10/28,"7 h 45 min","CAMARGUE (ARLES)",PROVENCE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",831721.91,6288506.58,43.68,4.63,6.5,"INFORMATION ISOLÉE"
840006,1731/06/15,"22 h 45 min","COMTAT (CAVAILLON)",VAUCLUSE,,863544.72,6305919.29,43.83,5.03,6.5,"ASSEZ SURE"
